CoordinatedLockrate,Tmura,Lockrate,DealDate,Volume,precentColor,PrecentageRateChange
"1,338.48","837,491,008","1,338.48",20/12/2017,"87,692,096",rise,0.32%
"1,334.19","1,034,718,080","1,334.19",19/12/2017,"83,680,632",rise,0.03%
"1,333.77","856,523,648","1,333.77",18/12/2017,"59,239,836",rise,0.37%
"1,328.88","245,329,584","1,328.88",17/12/2017,"16,426,420",rise,0.22%
"1,325.91","1,886,870,144","1,325.91",14/12/2017,"123,455,304",rise,0.16%
"1,323.73","767,557,440","1,323.73",13/12/2017,"51,086,472",drop,-0.34%
"1,328.28","873,571,008","1,328.28",12/12/2017,"60,389,236",rise,0.19%
"1,325.79","822,125,056","1,325.79",11/12/2017,"55,909,092",rise,0.43%
"1,320.15","516,659,648","1,320.15",10/12/2017,"42,509,072",rise,0.32%
"1,315.99","2,220,584,448","1,315.99",07/12/2017,"102,134,368",drop,-0.17%
"1,318.22","848,292,992","1,318.22",06/12/2017,"69,632,624",drop,-0.82%
"1,329.06","725,841,344","1,329.06",05/12/2017,"49,317,112",drop,-0.38%
"1,334.07","782,279,424","1,334.07",04/12/2017,"56,117,012",drop,-0.35%
"1,338.79","520,281,472","1,338.79",03/12/2017,"49,920,520",rise,0.68%
"1,329.81","1,895,129,344","1,329.81",30/11/2017,"102,656,560",rise,0.42%
"1,324.24","750,314,240","1,324.24",29/11/2017,"70,844,928",rise,0.06%
"1,323.51","827,936,448","1,323.51",28/11/2017,"50,277,592",rise,0.56%
"1,316.11","943,214,464","1,316.11",27/11/2017,"104,442,728",drop,-0.31%
"1,320.25","622,375,168","1,320.25",26/11/2017,"57,781,496",rise,0.52%
"1,313.4","1,414,119,936","1,313.4",23/11/2017,"115,244,856",rise,0.88%
"1,301.89","927,631,168","1,301.89",22/11/2017,"81,177,960",rise,0.06%
"1,301.09","1,024,492,736","1,301.09",21/11/2017,"76,133,368",rise,0.54%
"1,294.06","776,060,736","1,294.06",20/11/2017,"61,640,244",rise,0.16%
"1,292.01","354,271,776","1,292.01",19/11/2017,"29,602,180",rise,0.2%
"1,289.37","950,300,160","1,289.37",16/11/2017,"79,015,856",rise,0.43%
"1,283.8","698,058,688","1,283.8",15/11/2017,"54,367,664",drop,-0.72%
"1,293.12","838,003,072","1,293.12",14/11/2017,"64,847,356",drop,-0.3%
"1,297.01","776,064,832","1,297.01",13/11/2017,"48,717,344",drop,-0.11%
"1,298.49","322,186,400","1,298.49",12/11/2017,"28,069,132",rise,0.37%
"1,293.64","1,614,725,376","1,293.64",09/11/2017,"103,526,016",drop,-0.38%
"1,298.57","642,709,696","1,298.57",08/11/2017,"58,004,128",drop,-0.21%
"1,301.35","824,811,200","1,301.35",07/11/2017,"57,786,856",drop,-0.22%
"1,304.25","726,535,872","1,304.25",06/11/2017,"68,004,592",rise,0.09%
"1,303.1","326,065,056","1,303.1",05/11/2017,"28,721,666",drop,-0.11%
"1,304.59","1,774,314,752","1,304.59",02/11/2017,"151,941,440",drop,-0.95%
"1,317.1","773,324,928","1,317.1",01/11/2017,"46,670,880",rise,0.14%
"1,315.21","800,344,960","1,315.21",31/10/2017,"97,382,424",drop,-0.01%
"1,315.29","660,586,880","1,315.29",30/10/2017,"116,918,688",drop,-0.17%
"1,317.52","329,808,672","1,317.52",29/10/2017,"32,569,176",rise,0.46%
"1,311.46","1,078,687,488","1,311.46",26/10/2017,"134,961,008",rise,0.12%
"1,309.93","675,323,328","1,309.93",25/10/2017,"52,272,144",drop,-0.28%
"1,313.58","703,585,024","1,313.58",24/10/2017,"76,806,112",drop,-0.05%
